
--- CSV DUMP START ---
time_s,dt_s,gx_deg_s,gy_deg_s,gz_deg_s,omega_roll_deg_s,roll_gyro_deg
3.388000,0.009000,1.831055,2.624512,1.708984,1.831055,6.033392
3.396000,0.008000,1.708984,2.685547,1.770020,1.708984,6.047064
3.404000,0.008000,1.708984,2.624512,1.708984,1.708984,6.060736
3.413000,0.009000,1.831055,2.502441,1.708984,1.831055,6.077215
3.421000,0.008000,1.892090,2.624512,1.770020,1.892090,6.092352
3.430000,0.009000,1.708984,2.685547,1.892090,1.708984,6.107733
3.438000,0.008000,1.770020,2.746582,1.708984,1.770020,6.121893
3.447000,0.009000,1.770020,2.563477,1.770020,1.770020,6.137823
3.455000,0.008000,1.770020,2.746582,1.647949,1.770020,6.151983
3.464000,0.009000,1.831055,2.685547,1.708984,1.831055,6.168463
3.472000,0.008000,1.831055,2.868652,1.831055,1.831055,6.183111
3.481000,0.009000,1.770020,2.929688,1.831055,1.770020,6.199041
3.489000,0.008000,1.831055,2.746582,1.647949,1.831055,6.213690
3.497000,0.008000,1.892090,2.685547,1.647949,1.892090,6.228827
3.506000,0.009000,1.770020,2.685547,1.525879,1.770020,6.244757
3.514000,0.008000,1.831055,2.746582,1.586914,1.831055,6.259405
3.539000,0.025020,1.770020,2.746582,1.770020,1.770020,6.303691
3.548000,0.008980,1.770020,2.563477,1.770020,1.770020,6.319586
3.557000,0.009000,1.831055,2.685547,1.708984,1.831055,6.336065
3.565000,0.008000,1.770020,2.746582,1.708984,1.770020,6.350225
3.574000,0.009000,1.770020,2.807617,1.770020,1.770020,6.366156
3.582000,0.008000,1.953125,2.624512,1.708984,1.953125,6.381781
3.590000,0.008000,1.892090,2.868652,1.647949,1.892090,6.396917
3.599000,0.009000,1.708984,2.807617,1.708984,1.708984,6.412298
3.607000,0.008000,1.708984,2.624512,1.647949,1.708984,6.425970
3.616000,0.009000,1.831055,2.624512,1.708984,1.831055,6.442450
3.624000,0.008000,1.831055,2.685547,1.586914,1.831055,6.457098
3.633000,0.009000,1.831055,2.685547,1.708984,1.831055,6.473577
3.641000,0.008000,1.831055,2.746582,1.647949,1.831055,6.488226
3.650000,0.009000,1.892090,2.807617,1.647949,1.892090,6.505255
3.658000,0.008000,1.831055,2.685547,1.770020,1.831055,6.519903
3.667000,0.009000,1.892090,2.746582,1.892090,1.892090,6.536932
3.675000,0.008000,1.831055,2.563477,1.831055,1.831055,6.551580
3.684000,0.009000,1.831055,2.502441,1.708984,1.831055,6.568060
3.692000,0.008000,1.708984,2.807617,1.770020,1.708984,6.581732
3.700000,0.008000,1.770020,2.685547,1.708984,1.770020,6.595892
3.709000,0.009000,1.708984,2.563477,1.708984,1.708984,6.611273
3.717000,0.008000,1.831055,2.746582,1.770020,1.831055,6.625921
3.726000,0.009000,1.892090,2.624512,1.708984,1.892090,6.642950
3.734000,0.008000,1.770020,2.807617,1.647949,1.770020,6.657110
3.743000,0.009000,1.953125,2.746582,1.708984,1.953125,6.674688
3.751000,0.008000,1.953125,2.746582,1.831055,1.953125,6.690313
3.760000,0.009000,1.831055,2.807617,1.647949,1.831055,6.706793
3.768000,0.008000,1.770020,2.868652,1.708984,1.770020,6.720953
3.777000,0.009000,1.831055,2.685547,1.586914,1.831055,6.737432
3.785000,0.008000,1.892090,2.746582,1.770020,1.892090,6.752569
3.793000,0.008000,1.770020,2.624512,1.708984,1.770020,6.766729
3.802000,0.009000,1.708984,2.685547,1.525879,1.708984,6.782110
3.810000,0.008000,1.708984,2.807617,1.586914,1.708984,6.795782
3.819000,0.009000,1.770020,2.685547,1.708984,1.770020,6.811712
3.827000,0.008000,1.770020,2.624512,1.708984,1.770020,6.825872
3.836000,0.009000,1.770020,2.563477,1.647949,1.770020,6.841803
3.844000,0.008000,1.770020,2.624512,1.708984,1.770020,6.855963
3.853000,0.009000,1.831055,2.624512,1.647949,1.831055,6.872442
